season,winner,goals,shared,club,era,tactical_era_note,source
2008-09,Nicolas Anelka,19,FALSE,Chelsea,Possession Age,Fewest goals to win outright in modern era,Premier League official records
2009-10,Didier Drogba,29,FALSE,Chelsea,Possession Age,Drogba fired Chelsea to the title — scored in 11 consecutive league games,Premier League official records
2010-11,Carlos Tevez / Dimitar Berbatov,20,TRUE,Man City / Man Utd,Possession Age,First shared boot since 1998-99 — both finished on 20,Premier League official records
2011-12,Robin van Persie,30,FALSE,Arsenal,Possession Age,Won with Arsenal before summer move to Man Utd,Premier League official records
2012-13,Robin van Persie,26,FALSE,Man Utd,Possession Age,Van Persie fires Man Utd to the title in his first season,Premier League official records
2013-14,Luis Suárez / Daniel Sturridge,31,TRUE,Liverpool,Possession Age,Shared — Liverpool finish 2nd; Suárez scored 31 in 33 games,Premier League official records
2014-15,Harry Kane,21,FALSE,Tottenham,Transition,Kane's breakthrough season — Spurs finish 5th,Premier League official records
2015-16,Harry Kane,25,FALSE,Tottenham,Pressing Revolution,Kane retains — Spurs finish 3rd; Leicester win the title,Premier League official records
2016-17,Harry Kane,29,FALSE,Tottenham,Pressing Revolution,Kane's third boot — Spurs finish 2nd,Premier League official records
2017-18,Mohamed Salah,32,FALSE,Liverpool,Pressing Revolution,Record for a 38-game season at time of award; Salah's debut Liverpool season,Premier League official records
2018-19,Pierre-Emerick Aubameyang / Sadio Mané / Mohamed Salah,22,TRUE,Arsenal / Liverpool / Liverpool,Pressing Revolution,Three-way share — rare in the pressing era,Premier League official records
2019-20,Jamie Vardy,23,FALSE,Leicester,Pressing Revolution,COVID-curtailed season — Vardy edged Aubameyang and Danny Ings,Premier League official records
2020-21,Harry Kane / Son Heung-min,23,TRUE,Tottenham / Tottenham,Pressing Revolution,Son's two goals on final day at Norwich drew level with Kane,Premier League official records
2021-22,Mohamed Salah / Son Heung-min,23,TRUE,Liverpool / Tottenham,Counter-Revolution,First Asian player to win the Golden Boot (Son),Premier League official records
2022-23,Erling Haaland,36,FALSE,Man City,Counter-Revolution,All-time EPL record — 36 goals in 35 games; also won European Golden Shoe,Premier League official records
2023-24,Erling Haaland,27,FALSE,Man City,Counter-Revolution,Retained despite mid-season injury; 5 goals clear of Cole Palmer,Premier League official records
2024-25,Mohamed Salah,29,FALSE,Liverpool,Counter-Revolution,Salah's 4th boot — joint record with Thierry Henry; also league-leading 18 assists,Premier League official records
